schema_version	pattern_id	subject_id	task_id	run_id	cross_validation_label	condition_id	pattern_source_name	roi_source_name	roi_label	feature_count	voxel_order	voxel_index_hash	feature_space_id	roi_definition_id	feature_values	usable	status	mean_centering_applied	mean_centering_scope	event_count	qc_status	qc_reason	grouping_values	warnings	errors	roi_reference	generator_version	software_version	derivation_id	holdout_id	noise_status	noise_usable	noise_values	noise_feature_count	noise_voxel_order	noise_voxel_index_hash	noise_feature_space_id	noise_roi_definition_id	noise_value_kind	noise_estimation_scope	noise_source
research_platform.neuro.mvpa.materialized_pattern_table.v1	pattern-sub-toy01_run-01_condition_a_SeedA	sub-toy01	exampletask	run-01	run-01	condition_a	toy-prepared-patterns	toy-rois	SeedA	5	feature_index_ascending	307c4986c84da109b4a17f908a01b754a59e5e3aa8821602f8a3f0da25276509	toy-feature-space:SeedA:v1	toy-roi-definition:SeedA:v1	[15.25,15.5,15.75,16,16.25]	true	ok	false	none	8	pass		"{""design"":""toy-crossnobis""}"	[]	[]	root_ref:mvpa_example/README.md#seeda	toy-mvpa-generator-v1		algorithmic-formula-v1		ok	true	[2.125,2.25,2.375,2.5,2.625]	5	feature_index_ascending	307c4986c84da109b4a17f908a01b754a59e5e3aa8821602f8a3f0da25276509	toy-feature-space:SeedA:v1	toy-roi-definition:SeedA:v1	variance	exact_unit_roi	algorithmic-variance-formula-v1
research_platform.neuro.mvpa.materialized_pattern_table.v1	pattern-sub-toy01_run-01_condition_a_SeedB	sub-toy01	exampletask	run-01	run-01	condition_a	toy-prepared-patterns	toy-rois	SeedB	5	feature_index_ascending	7afbe769b68dcfba637ee7c42376ebea762f189df1d0491667526b7e4d5f9f47	toy-feature-space:SeedB:v1	toy-roi-definition:SeedB:v1	[17.25,17.5,17.75,18,18.25]	true	ok	false	none	8	pass		"{""design"":""toy-crossnobis""}"	[]	[]	root_ref:mvpa_example/README.md#seedb	toy-mvpa-generator-v1		algorithmic-formula-v1		ok	true	[2.625,2.75,2.875,3,3.125]	5	feature_index_ascending	7afbe769b68dcfba637ee7c42376ebea762f189df1d0491667526b7e4d5f9f47	toy-feature-space:SeedB:v1	toy-roi-definition:SeedB:v1	variance	exact_unit_roi	algorithmic-variance-formula-v1
research_platform.neuro.mvpa.materialized_pattern_table.v1	pattern-sub-toy01_run-01_condition_b_SeedA	sub-toy01	exampletask	run-01	run-01	condition_b	toy-prepared-patterns	toy-rois	SeedA	5	feature_index_ascending	307c4986c84da109b4a17f908a01b754a59e5e3aa8821602f8a3f0da25276509	toy-feature-space:SeedA:v1	toy-roi-definition:SeedA:v1	[16.75,18,19.25,20.5,21.75]	true	ok	false	none	8	pass		"{""design"":""toy-crossnobis""}"	[]	[]	root_ref:mvpa_example/README.md#seeda	toy-mvpa-generator-v1		algorithmic-formula-v1		ok	true	[2.125,2.25,2.375,2.5,2.625]	5	feature_index_ascending	307c4986c84da109b4a17f908a01b754a59e5e3aa8821602f8a3f0da25276509	toy-feature-space:SeedA:v1	toy-roi-definition:SeedA:v1	variance	exact_unit_roi	algorithmic-variance-formula-v1
research_platform.neuro.mvpa.materialized_pattern_table.v1	pattern-sub-toy01_run-01_condition_b_SeedB	sub-toy01	exampletask	run-01	run-01	condition_b	toy-prepared-patterns	toy-rois	SeedB	5	feature_index_ascending	7afbe769b68dcfba637ee7c42376ebea762f189df1d0491667526b7e4d5f9f47	toy-feature-space:SeedB:v1	toy-roi-definition:SeedB:v1	[19.25,21,22.75,24.5,26.25]	true	ok	false	none	8	pass		"{""design"":""toy-crossnobis""}"	[]	[]	root_ref:mvpa_example/README.md#seedb	toy-mvpa-generator-v1		algorithmic-formula-v1		ok	true	[2.625,2.75,2.875,3,3.125]	5	feature_index_ascending	7afbe769b68dcfba637ee7c42376ebea762f189df1d0491667526b7e4d5f9f47	toy-feature-space:SeedB:v1	toy-roi-definition:SeedB:v1	variance	exact_unit_roi	algorithmic-variance-formula-v1
research_platform.neuro.mvpa.materialized_pattern_table.v1	pattern-sub-toy01_run-02_condition_a_SeedA	sub-toy01	exampletask	run-02	run-02	condition_a	toy-prepared-patterns	toy-rois	SeedA	5	feature_index_ascending	307c4986c84da109b4a17f908a01b754a59e5e3aa8821602f8a3f0da25276509	toy-feature-space:SeedA:v1	toy-roi-definition:SeedA:v1	[18.25,18.5,18.75,19,19.25]	true	ok	false	none	8	pass		"{""design"":""toy-crossnobis""}"	[]	[]	root_ref:mvpa_example/README.md#seeda	toy-mvpa-generator-v1		algorithmic-formula-v1		ok	true	[2.375,2.5,2.625,2.75,2.875]	5	feature_index_ascending	307c4986c84da109b4a17f908a01b754a59e5e3aa8821602f8a3f0da25276509	toy-feature-space:SeedA:v1	toy-roi-definition:SeedA:v1	variance	exact_unit_roi	algorithmic-variance-formula-v1
research_platform.neuro.mvpa.materialized_pattern_table.v1	pattern-sub-toy01_run-02_condition_a_SeedB	sub-toy01	exampletask	run-02	run-02	condition_a	toy-prepared-patterns	toy-rois	SeedB	5	feature_index_ascending	7afbe769b68dcfba637ee7c42376ebea762f189df1d0491667526b7e4d5f9f47	toy-feature-space:SeedB:v1	toy-roi-definition:SeedB:v1	[20.25,20.5,20.75,21,21.25]	true	ok	false	none	8	pass		"{""design"":""toy-crossnobis""}"	[]	[]	root_ref:mvpa_example/README.md#seedb	toy-mvpa-generator-v1		algorithmic-formula-v1		ok	true	[2.875,3,3.125,3.25,3.375]	5	feature_index_ascending	7afbe769b68dcfba637ee7c42376ebea762f189df1d0491667526b7e4d5f9f47	toy-feature-space:SeedB:v1	toy-roi-definition:SeedB:v1	variance	exact_unit_roi	algorithmic-variance-formula-v1
research_platform.neuro.mvpa.materialized_pattern_table.v1	pattern-sub-toy01_run-02_condition_b_SeedA	sub-toy01	exampletask	run-02	run-02	condition_b	toy-prepared-patterns	toy-rois	SeedA	5	feature_index_ascending	307c4986c84da109b4a17f908a01b754a59e5e3aa8821602f8a3f0da25276509	toy-feature-space:SeedA:v1	toy-roi-definition:SeedA:v1	[20.25,21.5,22.75,24,25.25]	true	ok	false	none	8	pass		"{""design"":""toy-crossnobis""}"	[]	[]	root_ref:mvpa_example/README.md#seeda	toy-mvpa-generator-v1		algorithmic-formula-v1		ok	true	[2.375,2.5,2.625,2.75,2.875]	5	feature_index_ascending	307c4986c84da109b4a17f908a01b754a59e5e3aa8821602f8a3f0da25276509	toy-feature-space:SeedA:v1	toy-roi-definition:SeedA:v1	variance	exact_unit_roi	algorithmic-variance-formula-v1
research_platform.neuro.mvpa.materialized_pattern_table.v1	pattern-sub-toy01_run-02_condition_b_SeedB	sub-toy01	exampletask	run-02	run-02	condition_b	toy-prepared-patterns	toy-rois	SeedB	5	feature_index_ascending	7afbe769b68dcfba637ee7c42376ebea762f189df1d0491667526b7e4d5f9f47	toy-feature-space:SeedB:v1	toy-roi-definition:SeedB:v1	[22.75,24.5,26.25,28,29.75]	true	ok	false	none	8	pass		"{""design"":""toy-crossnobis""}"	[]	[]	root_ref:mvpa_example/README.md#seedb	toy-mvpa-generator-v1		algorithmic-formula-v1		ok	true	[2.875,3,3.125,3.25,3.375]	5	feature_index_ascending	7afbe769b68dcfba637ee7c42376ebea762f189df1d0491667526b7e4d5f9f47	toy-feature-space:SeedB:v1	toy-roi-definition:SeedB:v1	variance	exact_unit_roi	algorithmic-variance-formula-v1
research_platform.neuro.mvpa.materialized_pattern_table.v1	pattern-sub-toy02_run-01_condition_a_SeedA	sub-toy02	exampletask	run-01	run-01	condition_a	toy-prepared-patterns	toy-rois	SeedA	5	feature_index_ascending	307c4986c84da109b4a17f908a01b754a59e5e3aa8821602f8a3f0da25276509	toy-feature-space:SeedA:v1	toy-roi-definition:SeedA:v1	[25.25,25.5,25.75,26,26.25]	true	ok	false	none	8	pass		"{""design"":""toy-crossnobis""}"	[]	[]	root_ref:mvpa_example/README.md#seeda	toy-mvpa-generator-v1		algorithmic-formula-v1		ok	true	[2.375,2.5,2.625,2.75,2.875]	5	feature_index_ascending	307c4986c84da109b4a17f908a01b754a59e5e3aa8821602f8a3f0da25276509	toy-feature-space:SeedA:v1	toy-roi-definition:SeedA:v1	variance	exact_unit_roi	algorithmic-variance-formula-v1
research_platform.neuro.mvpa.materialized_pattern_table.v1	pattern-sub-toy02_run-01_condition_a_SeedB	sub-toy02	exampletask	run-01	run-01	condition_a	toy-prepared-patterns	toy-rois	SeedB	5	feature_index_ascending	7afbe769b68dcfba637ee7c42376ebea762f189df1d0491667526b7e4d5f9f47	toy-feature-space:SeedB:v1	toy-roi-definition:SeedB:v1	[27.25,27.5,27.75,28,28.25]	true	ok	false	none	8	pass		"{""design"":""toy-crossnobis""}"	[]	[]	root_ref:mvpa_example/README.md#seedb	toy-mvpa-generator-v1		algorithmic-formula-v1		ok	true	[2.875,3,3.125,3.25,3.375]	5	feature_index_ascending	7afbe769b68dcfba637ee7c42376ebea762f189df1d0491667526b7e4d5f9f47	toy-feature-space:SeedB:v1	toy-roi-definition:SeedB:v1	variance	exact_unit_roi	algorithmic-variance-formula-v1
